cc_name,NSE_SWAT_LOCA2,MPE_SWAT_LOCA2,PBIAS_SWAT_LOCA2,NSE_rank,MPE_rank,PBIAS_rank,overall_rank
FGOALS-g3,-0.82,124.86,-0.24,6.0,9.0,2.0,5.67
MRI-ESM2-0,-0.75,127.52,-0.2,9.0,14.0,1.0,8.0
NorESM2-LM,-0.64,125.79,-0.35,16.0,10.0,4.0,10.0
KACE-1-0-G,-0.89,127.1,3.04,3.0,13.0,18.0,11.33
MPI-ESM1-2-HR,-0.72,127.76,-1.12,11.0,16.0,8.0,11.67
EC-Earth3-Veg,-0.82,133.18,1.28,5.0,21.0,9.0,11.67
HadGEM3-GC31-LL,-0.49,121.81,-0.66,23.0,7.0,6.0,12.0
EC-Earth3,-0.7,130.06,-0.62,13.0,18.0,5.0,12.0
IPSL-CM6A-LR,-0.72,127.62,1.43,12.0,15.0,10.0,12.33
INM-CM5-0,-0.78,127.04,-3.14,7.0,12.0,19.0,12.67
CanESM5,-0.66,124.67,-2.74,15.0,8.0,16.0,13.0
GFDL-CM4,-0.75,126.59,-4.28,8.0,11.0,20.0,13.0
CNRM-ESM2-1,-0.85,135.87,2.31,4.0,24.0,12.0,13.33
CESM2-LENS,-0.57,120.72,-2.71,21.0,5.0,15.0,13.67
CNRM-CM6-1,-0.75,130.57,-2.64,10.0,19.0,13.0,14.0
MPI-ESM1-2-LR,-0.6,120.72,-2.77,19.0,6.0,17.0,14.0
ACCESS-CM2,-0.6,135.41,0.25,18.0,23.0,3.0,14.67
TaiESM1,-0.89,133.83,4.38,2.0,22.0,21.0,15.0
INM-CM4-8,-0.7,142.17,-0.7,14.0,25.0,7.0,15.33
AWI-CM-1-1-MR,-0.58,129.39,-2.2,20.0,17.0,11.0,16.0
ACCESS-ESM1-5,-0.44,114.68,-4.83,24.0,3.0,22.0,16.33
HadGEM3-GC31-MM,-0.54,112.19,-6.68,22.0,2.0,25.0,16.33
GFDL-ESM4,-0.27,106.13,-5.02,26.0,1.0,23.0,16.67
MIROC6,-0.61,130.96,-2.67,17.0,20.0,14.0,17.0
CNRM-CM6-1-HR,-0.42,115.01,-5.86,25.0,4.0,24.0,17.67
NorESM2-MM,-0.93,148.7,9.84,1.0,26.0,26.0,17.67
