NAME,NSE,MPE,PBIAS
40500010102,0.47,108.19,1.01
40500010206,0.38,67.77,1.31
40500012304,0.46,20.57,-2.7
40500012403,0.43,27.01,3.82
40500020207,0.53,56.85,4.77
40500020402,0.77,150.47,0.36
40500030307,0.27499998,48.955,-19.03
40500030310,0.43,48.84,3.33
40500030505,0.5,16.94,6.16
40500030805,0.78,28.91,-2.19
40500040102,0.55,36.55,-1.52
40500040502,0.64,259.18,2.99
40500040504,0.54999995,166.405,6.4700003
40500050207,0.13,266.23,12.13
40500050302,0.52,20.55,-9.32
40500060401,0.36,31.42,-1.83
40500070211,0.6,42.86,-5.09
40601010503,0.33,26.12,2.11
40601010803,0.7,18.15,4.91
40601020302,-2.23,60.58,33.26
40601020807,0.69,23.35,6.12
40601021003,0.45,62.32,-1.12
40601030402,0.56,47.4,-0.48
40601030404,0.43,36.055,3.37
40601040202,-0.14,15.93,12.97
40601050201,0.28,8.12,4.63
40601050502,0.37,17.95,5.08
40700040102,0.43,13.59,4.89
40700040301,0.61,12.6,2.64
40700070106,0.48,26.86,0.89
40802010304,0.68,32.34,12.99
40802020104,0.53,35.92,5.68
40802030205,0.71,46.93,0.93
40802040101,0.235,59.785,-26.279999
40802040104,0.6,90.87,8.83
40802040405,0.44,103.33,3.11
40900010102,0.63,132.13,-8.69
40900010209,0.61,101.88,-16.07
40900010403,0.69,63.9,-8.12
40900030303,0.54,262.92,-7.92
40900030304,0.3033333,304.77,-10.389999
40900030305,0.44,53.6,-4.48
40900040202,0.57,34.78,4.48
40900040404,-0.1675,58.315,24.622501
41000020101,0.42,72.16,14.54
41000130204,0.52,62.98,7.14
