names,total_count,top10_count,bottom10_count,avg_rank,overall_rank
hru_ps,29,11,5,15,1
2_k_sb,29,11,7,18,2
vol_area_co,29,11,10,18,3
cn3_swf,29,11,9,19,4
1_k_sb,29,10,5,15,5
esco,29,10,6,16,6
epco,29,10,11,19,7
3_k_sb,29,9,6,17,8
4_thickness_sb,29,9,6,17,9
1_hhc,29,9,10,18,10
dp_es,29,9,9,19,11
hru_es,29,8,4,16,12
2_hhc,29,8,6,17,13
2_sy,29,8,6,17,14
tmp_lag,29,8,5,18,15
surq_lag,29,8,6,18,16
melt_max,29,8,7,18,17
1_sy,29,8,10,18,18
mann,29,8,6,19,19
3_sy,29,8,8,19,20
dp_ps,29,8,8,19,21
2_thickness_sb,29,8,9,19,22
perco,29,8,11,20,23
3_hhc,29,7,2,17,24
4_hhc,29,7,6,18,25
melt_min,29,7,6,19,26
hru_frac,29,7,8,19,27
k,29,7,9,19,28
4_k_sb,29,7,8,20,29
4_sy,29,7,11,21,30
melt_tmp,29,6,8,19,31
cn_froz,29,6,10,21,32
3_thickness_sb,29,6,12,21,33
vol_dp_a,29,5,10,21,34
1_thickness_sb,29,5,12,23,35
vol_dp_b,29,4,11,22,36
fall_tmp,29,3,7,20,37
